Λ_TeV,sin2_MZ,RG_ok,λ_min,SPD_ok
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.231,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
